frame,ball_x,ball_y,ball_available,ball_zone,possession_player,possession_team,possessor_x,possessor_y,possessor_team,possessor_zone,event_type,previous_possession_player,previous_possession_team,possession_change,team_change,team_a_possession,team_b_possession,pass_event,pass_from_player,pass_to_player,pass_from_team,pass_to_team,pass_confidence
70,298.25,233.12,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
71,303.23,236.88,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
72,306.95,245.47,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
73,310.14799999999997,255.254,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
74,313.346,265.038,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
75,316.544,274.822,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
76,319.742,284.606,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
77,322.94,294.39,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
78,329.94,300.235,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
79,336.94,306.08,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
80,338.89,308.9,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
81,346.0,307.38,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
82,349.17,310.3,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
83,358.69,311.73,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
84,308.98,269.91,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
85,368.85,315.06,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
86,376.05,306.75,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
87,285.68,273.65,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
88,195.31,240.55,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
89,194.74,263.54,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
90,368.33,336.95,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
91,377.375,290.89,True,MID_CENTER,,,,,,UNKNOWN,NO_POSSESSION,,,False,False,False,False,False,,,,,
